name,url,price_old,price_new,image,description,article,brand,weight,country,application,warning,consist,status
"Стимулючий шампунь для волосся ""Здоровий ріст"" 4 Square, 400 мл",https://livesta.com.ua/index.php?route=product/product&product_id=8985,280.0,155.0,https://livesta.com.ua/image/cache/import_files/af/af8a8e94082911ed963b3cecef28bac7_01ae7131133411ed963d3cecef28bac7-400x400.jpg,"Активна формула шампуню підтримує правильний баланс вологи, забезпечуючи ретельне очищення та ідеальний догляд за вашим волоссям. Повертає прядкам природну мˊякість, пришвидшує здоровий ріст. Підходить для всіх типів волосся. Не містить шкідливих для здоров’я речовин.",#280117,4SQUARE,400 мл,ТУРЕЧЧИНА,"Для зовнішнього використання нанести достатню кількість шампуню на вологе волосся і шкіру голови, спінити, після чого ретельно змити теплою водою. У разі потреби повторити процедуру.",Уникати контакту з очима. У разі потрапляння в очі промити великою кількістю води. Зберігати при кімнатній температурі в недоступному для дітей місці. Не використовувати після закінчення терміну придатності.,"Вода, лауретсульфат натрію, кокамід ДЕА, натрію хлорид, кокамідопропіл бетаїн, стирен/акрилат сополімер, віддушка, коко-глюкозид, лимонна кислота, бензоат натрію, бензойна кислота, нітрат магнію, метилхлорізотіазолінон, хлорид магнію, CI 19140, CI 17200, метилізотіазолінон.",В наявності
"Пінка для укладання ультра-сильної фіксації Bebak, 200 мл",https://livesta.com.ua/index.php?route=product/product&product_id=9159,290.0,199.0,https://livesta.com.ua/image/cache/import_files/9e/9e7e2157409f11ed963e3cecef28bac7_3c5eaa3856d411ed963f3cecef28bac7-400x400.jpg,"Пінка для укладання волосся BEBAK – це універсальний засіб, розроблений для забезпечення сильної фіксації різноманітним зачіскам та одночасно інтенсивного догляду за волоссям. Засіб не чинить агресивної дії на структуру волосся, м’яко фіксує та підтримує здоровий вигляд волосся. Крім того, пінка надійно захищає прядки від пересушування та впливу високих температур під час укладання. Підходить для щоденного використання. Не містить шкідливих для здоров’я речовин",#242202,BEBAK,200 мл,ТУРЕЧЧИНА,"Для зовнішнього використання. Перед застосуванням ретельно збовтати. Повернути пляшку догори низом та видавити пінку в долоні. Повільно наносити, рівномірно розподіляючи на вологому або сухому волоссі та на кінчиках. Не змивати.","Зберігати за кімнатної температури в недоступному для дітей місці подалі від джерел вогню. Не розпиляти поблизу відкритого вогню, легкозаймистих матеріалів або розпечених предметів. Не палити. Уникати впливу прямих сонячних променів і нагрівання більше 50°C. Ємність знаходиться під тиском. Не розбирати, не проколювати та не спалювати навіть порожній флакон. Навмисно не вдихати розпилений засіб. Уникати контакту з очима. У разі потрапляння в очі промити великою кількістю води. Не використовувати після закінчення терміну придатності.","вода, денатурований спирт, бутан, сополімер октілакріламід/акрілата/ бутіламіноетілметакрілата, полівінілкапролактам, ізобутан, пропан, цетеарет-25, кокамідопропілбетаїн, амінометилпропанол, лауретсульфат натрію, гідантоїн ДМДМ, віддушка, ППГ-12 диметикон, кумарин.",В наявності
"Протеїновий шампунь для волосся Rain, 800 мл",https://livesta.com.ua/index.php?route=product/product&product_id=9197,500.0,399.0,https://livesta.com.ua/image/cache/import_files/4f/4f649e9c585311ed963f3cecef28bac7_2491e71c756411ed96413cecef28bac7-400x400.jpg,"Формула шампуню насичена протеїном, аргановою олією та цінними поживними  компонентами, що допомагають швидко зробити волосся м'якішим і полегшують  укладання. Підходить для волосся після кератинових, протеїнових і відновлюючих  процедур. Не містить шкідливих для здоров’я речовин.",#400103,Rain,800 мл,ТУРЕЧЧИНА,"Для зовнішнього використання нанести шампунь на вологе  волосся,   добре   спінити,   потім   ретельно   промити   волосся   теплою   водою.  Рекомендується використовувати тричі на тиждень.",Уникати контакту з очима. У разі потрапляння в очі промити  великою кількістю води. Зберігати за кімнатної температури в недоступному для  дітей місці. Не використовувати після закінчення терміну придатності.,"Вода, кокоїл ізетіонат амонію, гліцерин, децил глюкозид, лаурилсульфат  амонію,  кокамід  ДЕА,  ПЕГ-120  метилглюкози  діолеат,  диметиконол  (та)  ТЕА- Додецилбензенсульфонат, квартеніум-80, адипат ді-ППГ-2 мірет-10, амодиметикон,  полікватерніум-22,   арганова   олія,   віддушка,   аргінін,   гідролізований   кератин,  гідантоїн ДМДМ, полікватерніум-10, гуар гідроксипропілтримонію хлорид, пантенол,  екстракт квітів ромашки римської, токоферол, ПЕГ-12 диметикон, бензоат натрію,  молочна кислота.",В наявності
"Протеїновий кондиціонер для волосся Rain, 800 мл",https://livesta.com.ua/index.php?route=product/product&product_id=9210,500.0,399.0,https://livesta.com.ua/image/cache/import_files/4f/4f649f93585311ed963f3cecef28bac7_2491e80c756411ed96413cecef28bac7-400x400.jpg,"Насичений протеїном кондиціонер чудово розгладжує та пом’якшує волосся, робить  прядки більш щільними, здоровими та блискучими. Продукт запобігає посіченню  кінчиків, надає  їм життєвої сили й щільності. Не містить шкідливих для здоров’я  речовин.",#402106,Rain,800 мл,ТУРЕЧЧИНА,"Для  зовнішнього  використання  нанести  кондиціонер  на  вологе  волосся  після  використання  шампуню  та  добре  втерти.  Залишити  на  5  хвилин, потім змити теплою водою.",Уникати контакту з очима. У разі потрапляння в очі промити  великою кількістю води. Тримати подалі від прямих сонячних променів. Зберігати за  кімнатної температури в недоступному для дітей місці. Не використовувати після  закінчення терміну придатності.,"Вода,  цетеариловий  спирт,  цетримонію  хлорид,  диметикон,  тридецет-5,  феноксиетанол,  етилгексилгліцерин,  гліцерин,  гідроксиетилцелюлоза,  віддушка,  етилендіамінтетраоцтова  кислота,  гідролізований  кератин,  Д-пантенол,  арганова  олія, токоферол, лимонна кислота.",В наявності
"Вітамінна добавка для шкіри, нігтів та волосся ""Вітамінний б`юті-комплекс"" LIVESTA, 60 таблет",https://livesta.com.ua/index.php?route=product/product&product_id=8926,200.0,149.0,https://livesta.com.ua/image/cache/import_files/76/76b824e0f91411ec963b3cecef28bac7_a093589d133311ed963d3cecef28bac7-400x400.jpg,"Рекомендації щодо застосування: може бути використана в раціонах дієтичного харчування як додаткове джерело вітамінів, мінералів і комплексу біологічно активних речовин рослинного  походження з метою створення оптимальних дієтологічних умов для поліпшення стану волосся, шкіри та нігтів.  
Рекомендовано дотримуватися збалансованого раціону харчування, обмежувати тваринні жири, солодощі, алкоголь, сіль.  
Рослинні екстракти проса і пророслих зерен пшениці  у поєднанні з біотином прекрасно впливають на  загальний стан шкіри та нігтів, відновлюють здоровий  вигляд і структуру волосся.  Активний комплекс діючих речовин, що включає вітаміни А і Е та кальцій, відроджує природні сили і функціонування організму в цілому  Добавка прискорює ріст та зміцнює волосся та  нігті, запобігає процесам старіння шкіри, роблячи  її більш еластичною та пружною.  
Є додатковим джерелом вітамінів та мінералів, що  добре засвоюються організмом",#114701,LIVESTA,60 таб.,УКРАЇНА,дорослим по 1 таблетці 2-3 рази на день після їжі.,"підвищена індивідуальна чутливість  до окремих компонентів продукту, дітям до 12 років, вагітним жінкам,  період лактації у жінок.  Перед застосуванням рекомендована консультація з лікарем.  Не є лікарським засобом.  Не перевищувати зазначену рекомендовану добову дозу.  Дієтичну добавку не слід використовувати як заміну повноцінного  раціону харчування.","Склад на 1 таблетку: екстракт пророслих зерен пшениці – 150 мг,
екстракт проса – 50 мг, кальцію пантотенат – 10 мг, вітамін Е – 5 мг,
вітамін А – 0,3 мг, біотін – 25 мкг.
Допоміжні речовини: сорбіт, целюлоза мікрокристалічна,
лимонна кислота, стеарат кальцію.",В наявності
"Дієтична добавка для суглобів ""Молоді суглоби"" LIVESTA, 60 таблеток",https://livesta.com.ua/index.php?route=product/product&product_id=8928,260.0,139.0,https://livesta.com.ua/image/cache/import_files/76/76b82506f91411ec963b3cecef28bac7_ade63f46133311ed963d3cecef28bac7-400x400.jpg,"Рекомендації щодо застосування: може бути використана в раціонах дієтичного харчування як джерело хондроітину, глюкозаміну, вітамінів В1, В6, В12 з метою створення оптимальних дієтологічних умов для нормального функціонування опорно-рухового апарату.  
ХОНДРОІТИНСУЛЬФАТ і ГЛЮКОЗАМІН перешкоджають руйнуванню та сприяють відновленню суглобового хряща, поліпшуючи  рухливість та гнучкість суглобів  
ВІТАМІНИ В1, В6, В12 сприяють зменшенню  запальних процесів при артрозі, артриті, ревматизмі та інших дегенеративних станах суглобів",#114703,LIVESTA,60 таб.,УКРАЇНА,дорослим по 1 таблетці 2-3 рази на день  після їжі.,"підвищена індивідуальна  чутливість до компонентів препарату, вагітність, період лактації  у жінок, діти до 12 років.  Перед застосуванням рекомендована консультація з лікарем.  Не є лікарським засобом.  Не перевищувати зазначену рекомендовану добову дозу.  Дієтичну добавку не слід використовувати як заміну  повноцінного раціону харчування.","Склад на 1 таблетку: хондроітинсульфат – 150 мг, глюкозамін –
150 мг, вітамін В1 – 0,8 мг, вітамін В6 – 0,8 мг, вітамін В12 –
0,7 мкг.
Допоміжні речовини: кальцію стеарат, лактоза, мікрокристалічна
целюлоза, мальтодекстрин.",В наявності
"Зубна паста ""Білосніжна посмішка"" Livesta, 170 г",https://livesta.com.ua/index.php?route=product/product&product_id=8968,200.0,109.0,https://livesta.com.ua/image/cache/import_files/d1/d16bf123043811ed963b3cecef28bac7_6b1437f01d5611ed963d3cecef28bac7-400x400.jpg,"Зубна паста LIVESTA містить натуральні екстракти чайного дерева і шавлії, які не тільки дбайливо відбілюють зубну емаль, але й дозволяють забезпечити комплексний догляд за ротовою порожниною. 
Паста делікатно очищає зуби, видаляє наліт від чаю та кави, м'яко відбілює зубну емаль, захищаючи зуби від карієсу і зубного нальоту. 
Ефірні олії ялиці та м’яти надають подиху тривалої свіжості. 
Не містить шкідливих для здоров’я речовин.",#111701,LIVESTA,170 г,УКРАЇНА,Чистити зуби невеликою кількістю зубної пасти від кутніх зубів до центру протягом 2-3 хвилин двічі на день.,"індивідуальна підвищена чутливість до окремих компонентів продукту. Запобігати потраплянню в очі, в разі попадання промити водою. Зберігати у недоступному для дітей місці. Не ковтати!","Вода демінералізована, карбонат кальцію, гліцерин, гідроксиетилцелюлоза, бентоніт, кокамідопропіл бетаїн, екстракт чайного дерева, екстракт шавлії, ментол, ефірна олія м’яти, ефірна олія анісу, ефірна олія ялиці, цитрат цинку, бікарбонат натрію, сахаринат натрію, ароматизатор, 2-бромо-2-нітропропан-1,3-діол.",В наявності
"Зубна паста ""Здорові ясна"" Livesta, 170 г",https://livesta.com.ua/index.php?route=product/product&product_id=8969,200.0,109.0,https://livesta.com.ua/image/cache/import_files/d1/d16bf136043811ed963b3cecef28bac7_710c59511d5611ed963d3cecef28bac7-400x400.jpg,"Зубна паста LIVESTA захищає ротову порожнину від захворювань пародонту, ефективно зміцнює зубну емаль. Регулярне застосування пасти знижує чутливість зубів і кровоточивість ясен. 
Алое вера у складі знімає запалення і хворобливу чутливість зубів. 
Екстракти бергамоту, чебрецю та обліпихи запобігають розвитку карієсу. 
Ефірні олії м'яти та анісу ефективно борються з неприємним запахом з рота. 
Не містить шкідливих для здоров’я речовин.",#111702,LIVESTA,170 г,УКРАЇНА,Для зовнішнього застосування чистити зуби невеликою кількістю зубної пасти від кутніх зубів до центру протягом 2-3 хвилин двічі на день.,"індивідуальна підвищена чутливість до окремих компонентів продукту. Запобігати потраплянню в очі, в разі попадання промити водою. Зберігати у недоступному для дітей місці. Не ковтати!","Вода демінералізована, карбонат кальцію, олія алое вера, гліцерин, гідроксиетилцелюлоза, бентоніт, кокамідопропіл бетаїн, екстракт чебрецю, екстракт обліпихи, ментол, екстракт бергамоту, ефірна олія м’яти, ефірна олія анісу, цитрат цинку, бікарбонат натрію, сахаринат натрію, ароматизатор, 2-бромо-2-нітропропан-1,3-діол, барвник: індекс кольору CI 42090, CI 19140.",В наявності
"Дієтична добавка для стрункої фігури ""Дієт формула"" LIVESTA, 60 таблеток",https://livesta.com.ua/index.php?route=product/product&product_id=9384,600.0,449.0,https://livesta.com.ua/image/cache/import_files/98/988d43b8a87d11ed96413cecef28bac7_9f7c63f0b1e711ed96413cecef28bac7-400x400.jpg,"Дієтична добавка ""Дієт формула"" допомагає  
схуднути  
покращити обмін речовин  
поліпшити травлення  
Рекомендації щодо застосування: може бути використана в раціонах дієтичного харчування як джерело біологічно  активних речовин рослинного походження (вітамінів, мінералів, харчових волокон) та карнітину з метою створення оптимальних дієтологічних умов для нормального  функціонування травної системи та обміну речовин у осіб, що контролюють вагу тіла.",#114704,LIVESTA,60 таб.,УКРАЇНА,дорослим по 1 таблетці 2-3 рази на день після їжі.,"індивідуальна підвищена чутливість до окремих компонентів продукту, дітям до 12 років, вагітним жінкам, період лактації у жінок.    Перед застосуванням рекомендована консультація з лікарем.  Не є лікарським засобом. Не перевищувати зазначену рекомендовану добову дозу.                                                                                                                                                                  Дієтичну добавку не слід використовувати як заміну повноцінного раціону харчування.","Склад на 1 таблетку: комплекс яблучного оцту з мальтодекстріном (5:95) – 100 мг, екстракт ананасу – 100 мг, екстракт гарцинії камбоджийської – 100 мг, екстракт зеленого чаю – 50 мг, L – карнітин – 50 мг.
Допоміжні речовини: кальцію стеарат, лактоза, мальтодекстрин, мікрокристалічна целюлоза",В наявності
"Дієтична добавка з лютеїном для покращення зору ""Офтальмін"" LIVESTA, 30 капсул",https://livesta.com.ua/index.php?route=product/product&product_id=9387,400.0,299.0,https://livesta.com.ua/image/cache/import_files/98/988d43f1a87d11ed96413cecef28bac7_9f7c643eb1e711ed96413cecef28bac7-400x400.jpg,"Дієтична добавка ""Офтальмін"" з лютеїном допомагає при:  
порушеннях зору  
втомі очей  
роботі за компьютером  
Рекомендації щодо застосування: може бути використана  в раціонах дієтичного харчування як джерело лютеїну,  каротину та інших біологічно активних речовин рослинного  походження (вітамінів, мінералів) з метою створення  оптимальних дієтологічних умов, що сприятливо впливають  на стан організму при порушеннях зору.
Колір капсул може відрізнятись в залежності від партії.",#114707,LIVESTA,30 капс,УКРАЇНА,дорослим по 1-2 капсули 2 рази на день під час їжі.,"індивідуальна підвищена чутливість до окремих компонентів продукту, дітям до 12 років, вагітним жінкам, період лактації у жінок.    Перед застосуванням рекомендована консультація з лікарем.  Не є лікарським засобом. Не перевищувати зазначену рекомендовану добову дозу.                                                                                                                                                                  Дієтичну добавку не слід використовувати як заміну повноцінного раціону харчування.","Склад на 1 капсулу: плоди чорниці -  150 мг, таурин – 150 мг, лютеїн -  50 мг, бета каротин -  10 мг, кверцетин -  5 мг, зеаксантин -  0,8 мг.
Допоміжні речовини: кальцію стеарат, магнію стеарат, лактоза, мальтодекстрин, мікрокристалічна целюлоза.",В наявності
"Засіб для видалення цвілі LIVESTA, 650 мл",https://livesta.com.ua/index.php?route=product/product&product_id=8956,390.0,269.0,https://livesta.com.ua/image/cache/import_files/97/97486e77fc6b11ec963b3cecef28bac7_80221b86133311ed963d3cecef28bac7-400x400.jpg,"Ефективно видаляє плісняву зі стін, стелі, віконних рам, cтиків плитки та швів у ванній кімнаті й біля ванної, душу або раковини. Підходить для місць із підвищеною вологістю та схильністю до наростання цвілі. Крім того, засіб відбілює поверхні, тому може використовуватися у господарстві як відбілювач.",#112901,LIVESTA,650 мл,ПОЛЬЩА,"Для зовнішнього використання розпилити достатню кількість засобу на забруднену поверхню. Залишити на 10-15 годин. Коли поверхня висохне, видалити залишки щіткою або ганчіркою. За необхідності повторити нанесення. Не змішувати з іншими засобами. Рекомендовано використовувати в гумових рукавичках.",Зберігати при кімнатній температурі. Уникати потрапляння в очі. У разі потрапляння в очі змити великою кількістю води. Зберігати в недоступному для дітей місці. Не допускати попадання прямих сонячних променів. Не використовувати після закінчення терміну придатності.,Відбілюючі речовини на основі хлору <5%.,В наявності
"Універсальний знежирювач LIVESTA, 650 мл",https://livesta.com.ua/index.php?route=product/product&product_id=8957,400.0,279.0,https://livesta.com.ua/image/cache/import_files/97/97486e8bfc6b11ec963b3cecef28bac7_8872847f133311ed963d3cecef28bac7-400x400.jpg,"Засіб підходить для прибирання всієї оселі: для миття підлоги, сантехніки, керамічної плитки та газових плит. Він ефективно видаляє застарілий та пригорілий жир з усіх поверхонь. Усуває не лише залишки жиру, а й інші види складних забруднень.",#112902,LIVESTA,650 мл,ПОЛЬЩА,"Для зовнішнього використання нанести на поверхню, залишити на деякий час, після чого ретельно витерти або змити теплою водою.",Зберігати при кімнатній температурі. Уникати потрапляння в очі. У разі потрапляння в очі змити великою кількістю води. Зберігати в недоступному для дітей місці. Не допускати попадання прямих сонячних променів. Не використовувати після закінчення терміну придатності.,"Аніонні поверхнево-активні речовини 5-15%, віддушка, гексилциннамаль, цитронелол, метилхлороізотіазолінон, метилізотіазолінон.",В наявності
"Засіб для чищення духовок LIVESTA, 650 мл",https://livesta.com.ua/index.php?route=product/product&product_id=8958,400.0,279.0,https://livesta.com.ua/image/cache/import_files/97/97486e9ffc6b11ec963b3cecef28bac7_90159eab133311ed963d3cecef28bac7-400x400.jpg,"Високоефективний засіб швидко та якісно видаляє пригорілі забруднення й неприємні запахи. Продукт розм’якшує, відшаровує та розчиняє навіть стійкі забруднення, знищуючи бруд, жир і нагар у духових шафах, грилях і камінах. Не пошкоджує оброблювану поверхню. Не містить шкідливих для здоров’я речовин.",#113001,LIVESTA,650 мл,ПОЛЬЩА,"Для зовнішнього використання розпилити засіб на забруднену (холодну) поверхню, залишити на деякий час, потім ретельно витерти насухо. За необхідності повторити процедуру. Рекомендовано використовувати в гумових рукавичках.",Зберігати при кімнатній температурі. Уникати потрапляння в очі. У разі потрапляння в очі змити великою кількістю води. Зберігати в недоступному для дітей місці. Не допускати попадання прямих сонячних променів. Не використовувати після закінчення терміну придатності.,Неіоногенні поверхнево-активні речовини <5%.,В наявності
"Універсальний рослинний очисник Smart, 500 мл",https://livesta.com.ua/index.php?route=product/product&product_id=8986,440.0,299.0,https://livesta.com.ua/image/cache/import_files/bc/bc42e1eb083b11ed963b3cecef28bac7_dff5cb1f133311ed963d3cecef28bac7-400x400.jpg,"Потужна формула очисника на рослинній основі Smart призначена для ефективного очищення будь-яких поверхонь будь-якого кольору (авто, сантехніка, вікна, підлоги, тканини, м'які меблі, килими та ін.). Засіб має властивості сильного плямовивідника, що розчиняє плями від олії, крові, поту, йоду, трави, кави, вина, а також бруд та іржу. Очисник слід наносити на будь-які види поверхонь будь-яких кольорів відповідно до вказівок із застосування. Гімалайська сіль у складі очисника має дезінфікуючі властивості та поглинає неприємні запахи. Не має властивостей відбілювача. Підходить для прання речей та миття посуду. Натуральний гіпоалергенний продукт без кольору та запаху. Не містить шкідливих для здоров’я речовин.",#262901,Smart,500 мл,ТУРЕЧЧИНА,"Для зовнішнього використання нанести засіб за допомогою розпилювача на плями від олії, бруду, іржі та інші види плям на кухні, у ванній або в туалеті. За допомогою м’якої губки видалити засіб з поверхні. Для видалення плям із килимових покриттів і м'яких меблів нанести засіб на пляму і видалити за допомогою вологої ганчірки. Для видалення плям із м'яких меблів або килимів розвести 100 мл очисника в 5 л води. Не рекомендується застосовувати для килимових покриттів із вовни. Для очищення різних поверхонь, паркету, ламінату, вікон та меблів розвести 100 мл очисника в 5 л води. Засіб запобігає осіданню бруду та пилу, допомагає підтримувати чистоту до наступного збирання. Для використання в пральній машині додати 100 мл універсального засобу у відділення для порошку/миючого засобу. Для прання особливо забруднених речей рекомендується попередньо нанести засіб на плями. Для використання в посудомийній машині додати 25 мл очисника у відділення для миючого засобу. Засіб також підходить для очищення алюмінієвих поверхонь, поверхонь вбудованої техніки та душової кабіни. Для цього розвести очищувач у пропорції 1:10 у воді та нанести рідину на вологу ганчірку. Не слід розприскувати засіб безпосередньо на поверхню.","Уважно прочитати інструкцію із застосування. Не змішувати засіб з іншими продуктами та речовинами! Зберігати у недоступному для дітей місці подалі від продуктів харчування. У разі попадання в очі промити великою кількістю води. Не ковтати, у разі проковтування негайно звернутися до лікаря. При тривалому контакті з чутливою шкірою рекомендується використовувати рукавички. Не використовувати для очищення панелі приладів автомобіля. Не використовувати після закінчення терміну придатності.","Рослинна смола, натуральний гліцерин, екстракт гімалайської солі, іонізована вода.",В наявності
"Кисневий порошок для відбілювання та виведення плям Livesta, 750 г",https://livesta.com.ua/index.php?route=product/product&product_id=8990,390.0,249.0,https://livesta.com.ua/image/cache/import_files/8d/8dc823920dcc11ed963b3cecef28bac7_83b4a1301d5611ed963d3cecef28bac7-400x400.jpg,"Порошок розроблений для видалення навіть найстійкіших плям та ідеального відбілювання білих речей. Активні молекули кисню проникають глибоко в структуру тканини та ефективно видаляють забруднення. 
Засіб повертає посірілим та пожовтілим речам первинний вигляд, зберігає яскраву білизну білих та насиченість кольору кольорових речей. 
Крім того, продукт має дезінфікуючі властивості, він не руйнує структуру тканин, забезпечує ефективне та безпечне для навколишнього середовища очищення.  
Порошок є безпечним для кольорових речей при використанні відповідно до інструкції із застосування. 
Прання в пральній машині: Для застарілих і складних плям додати 1-3 мірних ложки порошку в залежності від кількості білизни та ступеня забрудненості речей в кювету для основного миючого засобу (відсік для основного прання). Для щоденного прання додавати 1 мірну ложку засобу. Не використовувати з хлорними відбілювачами. 
Замочування: Розчинити 1 мірну ложку засобу в 4 літрах гарячої води. Замочити одяг (кольорові речі не більше, ніж на 1 годину, білі – не більше 6 годин). Вийняти одяг з води та випрати його у пральній машинці або просто ретельно прополоскати.",#113102,LIVESTA,750 г,ТУРЕЧЧИНА,"Порошок є безпечним для кольорових речей при використанні відповідно до інструкції із застосування. Прання в пральній машині: Для застарілих і складних плям додати 1-3 мірних ложки порошку в залежності від кількості білизни та ступеня забрудненості речей в кювету для основного миючого засобу (відсік для основного прання). Для щоденного прання додавати 1 мірну ложку засобу. Не використовувати з хлорними відбілювачами. Замочування: Розчинити 1 мірну ложку засобу в 4 літрах гарячої води. Замочити одяг (кольорові речі не більше, ніж на 1 годину, білі – не більше 6 годин). Вийняти одяг з води та випрати його у пральній машинці або просто ретельно прополоскати. УВАГА! Перед використанням обов’язково перевірити тканину на стійкість кольору. Для цього розчинити невелику кількість засобу у воді та нанести на окрему непомітну ділянку тканини. Для запобігання руйнуванню структури тканин не залишати речі замоченими більш, ніж на 6 годин. Не наносити засіб безпосередньо на білизну. Засіб працює краще в гарячій воді при температури від 45°С до 100°С. При необхідності використання більш низької температури прання рекомендується збільшити час взаємодії з засобом.","Уважно прочитати інструкцію із застосування. Містить перкарбонат натрію. Не змішувати порошок разом із засобами, що містять хлор, аміак або інші хімікати. Не використовувати для вовни, шовку, шкіри, латексу, фарби або дерева, а також для ювелірних виробів,. Не використовувати для очищення рук, обличчя, тіла та продуктів харчування. Тримати подалі від дітей і харчових продуктів. Зберігати при кімнатній температурі (нижче 25°C) в оригінальній упаковці. Уникати потрапляння в очі або на шкіру. Уникати тривалого контакту рук із засобом, щоб захистити шкіру. Не використовувати після закінчення терміну придатності.","перкарбонат натрію, карбонат натрію, сульфат натрію, поверхнево-активні речовини.",В наявності
"Крем для чищення поверхонь «Лимон» LIVESTA, 750 г",https://livesta.com.ua/index.php?route=product/product&product_id=9170,200.0,119.0,https://livesta.com.ua/image/cache/import_files/90/908bb3b04f0d11ed963f3cecef28bac7_7cae140c882f11ed96413cecef28bac7-400x400.jpg,"М’яка формула крему розроблена для делікатного чищення без подряпин усіх кухонних поверхонь, а також ідеально підходить для очищення кранів, раковин, ванн, сантехніки, плитки для підлоги і стін тощо. Видаляє навіть найстійкіші забруднення. Засіб надає поверхням блиску та залишає свіжий аромат.",#112903,LIVESTA,750 г,ТУРЕЧЧИНА,Для зовнішнього використання нанести засіб без розведення безпосередньо на поверхню за допомогою вологої губки чи ганчірки. Протерти поверхню та сполоснути водою. Щільно закривати після використання.,"Уважно прочитати інструкцію із застосування. Не використовувати засіб для очищення обличчя, рук, тіла та продуктів харчування. Під час застосування бажано надіти рукавички. Після застосування ретельно вимити руки. Уникати тривалого контакту зі шкірою. Не використовувати після закінчення терміну придатності.","аніонні ПАР, неіоногенні ПАР, консервант, ароматизатор (лімонен), барвник.",В наявності
"Шампунь для неслухняного та слабкого волосся з аргановою олією THALIA, 300 мл",https://livesta.com.ua/index.php?route=product/product&product_id=8390,390.0,249.0,https://livesta.com.ua/image/cache/import_files/ac/ac6b32dacf3c11ec963b3cecef28bac7_38a60876e0c311ec963b3cecef28bac7-400x400.jpg,"Спробуй wow-ефект! Отримай живі, сильні та блискучі локони завдяки аргановій олії.

Шампунь, що містить запатентований активний фітокомплекс AHL із 24 натуральних рослинних екстрактів, глибоко очищає волосся, запобігає випадінню, а також лікує та відновлює прядки, пошкоджені умовами довкілля. Завдяки спеціально розробленому міксу сполук дягелю, кропиви, зеленого чаю та екстракту насіння гарбуза ефективно бореться з випадінням волосся, усуваючи причину проблеми. Ромашка, хна, розмарин та протеїни пшениці сприяють покращенню структури волосся, дарують йому сяйво та здоровий блиск. Комбінація пантенолу та екстрактів рослин відновлює природний водний баланс, надає волоссю об’єму та сяйва. Арганова олія має унікальні зволожуючі та живильні властивості, тому ідеально підходить для догляду за ламким волоссям: воно стає шовковистим, гладеньким і м’яким надовго. Завдяки pH 5.5 піклується про шкіру голови, знімаючи подразнення. Підходить для ламкого, неслухняного та ослабленого волосся. 
Не містить шкідливих для здоров’я речовин.",#220111,THALIA,300 мл,ТУРЕЧЧИНА,"Для зовнішнього використання масажними рухами нанести на вологе волосся, після чого змити. Для досягнення кращого результату залишити мінімум на 5 хвилин. Рекомендується регулярне використання для зменшення або припинення випадіння волосся.",У разі потрапляння в очі промити великою кількістю води. Зберігати в недоступному для дітей місці за кімнатної температури. Не використовувати після закінчення терміну придатності.,"Вода, динатрію лауретсульфат, кокамідопропіл бетаїн, кокамід DEA, PEG-7 гліцерил кокоат, фітокомплекс AHL (екстракт листя м’яти перцевої, екстракт шавлії лікарської, екстракт листя кропиви дводомної, екстракт лаванди вузьколистої, екстракт розмарину лікарського, екстракт листя лавра благородного, екстракт кореня дягелю лікарського, екстракт листя чаю, екстракт чебрецю густоволосистого, екстракт зародків пшениці, екстракт листя хвоща польового, екстракт квітів ромашки лікарської, екстракт лавсонії (хни), сік плодів граната, олія солодкого мигдалю, олія насіння кунжуту, олія оливи, олія насіння гарбуза, олія виноградних кісточок, екстракт листя евкаліпта, екстракт плодів кави арабіки, екстракт листя кориці, екстракт листя горіха волоського, екстракт листя меліси лікарської), олія аргани, полісорбат 20, пантенол, віддушка, хлористий натрій, PEG 120 метилглюкози діолат, полікватерній-10, алантоїн, тетранатрій ЕДТА, бензиловий спирт, метилхлорізотіазолінон, метилізотіазолінон, лимонна кислота, бутилфеніл метилпропіональ, гексилциннамаль, цитронелол, альфа-ізометил іонон, ліналоол, гідроксиізогексил-3-циклогексен карбоксальдегід..",В наявності
